ID,nb_visits,entry_nb_visits,exit_nb_visits
http://calenda.org/390173,50,36.0,34.0
http://calenda.org/392652,50,23.0,18.0
http://calenda.org/393292,50,11.0,20.0
http://calenda.org/394144,50,33.0,30.0
http://calenda.org/394533,50,39.0,37.0
http://calenda.org/401448,50,17.0,19.0
http://calenda.org/238046,49,46.0,45.0
http://calenda.org/370965,49,48.0,48.0
http://calenda.org/382469,49,28.0,34.0
http://calenda.org/388319,49,26.0,23.0
http://calenda.org/389929,49,20.0,19.0
http://calenda.org/390487,49,18.0,25.0
http://calenda.org/391675,49,32.0,37.0
http://calenda.org/394199,49,21.0,31.0
http://calenda.org/395747,49,24.0,24.0
